STAR version=2.7.10b
STAR compilation time,server,dir=2023-05-25T06:56:23+0000 :/opt/conda/conda-bld/star_1684997536154/work/source
##### Command Line:
/beegfs/scratch/ric.broccoli/kubacki.michal/conda_envs/snakemake/bin/STAR-avx2 --runMode genomeGenerate --runThreadN 8 --genomeDir reference/star_index --genomeFastaFiles reference/GRCh38.primary_assembly.genome.fa --sjdbGTFfile reference/gencode.v38.annotation.gtf --sjdbOverhang 100
##### Initial USER parameters from Command Line:
###### All USER parameters from Command Line:
runMode                       genomeGenerate        ~RE-DEFINED
runThreadN                    8     ~RE-DEFINED
genomeDir                     reference/star_index     ~RE-DEFINED
genomeFastaFiles              reference/GRCh38.primary_assembly.genome.fa        ~RE-DEFINED
sjdbGTFfile                   reference/gencode.v38.annotation.gtf     ~RE-DEFINED
sjdbOverhang                  100     ~RE-DEFINED
##### Finished reading parameters from all sources

##### Final user re-defined parameters-----------------:
runMode                           genomeGenerate   
runThreadN                        8
genomeDir                         reference/star_index
genomeFastaFiles                  reference/GRCh38.primary_assembly.genome.fa   
sjdbGTFfile                       reference/gencode.v38.annotation.gtf
sjdbOverhang                      100

-------------------------------
##### Final effective command line:
/beegfs/scratch/ric.broccoli/kubacki.michal/conda_envs/snakemake/bin/STAR-avx2   --runMode genomeGenerate      --runThreadN 8   --genomeDir reference/star_index   --genomeFastaFiles reference/GRCh38.primary_assembly.genome.fa      --sjdbGTFfile reference/gencode.v38.annotation.gtf   --sjdbOverhang 100
----------------------------------------

Number of fastq files for each mate = 1
ParametersSolo: --soloCellFilterType CellRanger2.2 filtering parameters:  3000 0.99 10
Finished loading and checking parameters
--genomeDir directory exists and will be overwritten: reference/star_index/
!!!!! WARNING: Could not move Log.out file from ./Log.out into reference/star_index/Log.out. Will keep ./Log.out

Jan 05 16:17:04 ... starting to generate Genome files
reference/GRCh38.primary_assembly.genome.fa : chr # 0  "chr1" chrStart: 0
reference/GRCh38.primary_assembly.genome.fa : chr # 1  "chr2" chrStart: 249036800
reference/GRCh38.primary_assembly.genome.fa : chr # 2  "chr3" chrStart: 491257856
reference/GRCh38.primary_assembly.genome.fa : chr # 3  "chr4" chrStart: 689700864
reference/GRCh38.primary_assembly.genome.fa : chr # 4  "chr5" chrStart: 880017408
reference/GRCh38.primary_assembly.genome.fa : chr # 5  "chr6" chrStart: 1061683200
reference/GRCh38.primary_assembly.genome.fa : chr # 6  "chr7" chrStart: 1232601088
reference/GRCh38.primary_assembly.genome.fa : chr # 7  "chr8" chrStart: 1391984640
reference/GRCh38.primary_assembly.genome.fa : chr # 8  "chr9" chrStart: 1537212416
reference/GRCh38.primary_assembly.genome.fa : chr # 9  "chr10" chrStart: 1675624448
reference/GRCh38.primary_assembly.genome.fa : chr # 10  "chr11" chrStart: 1809580032
reference/GRCh38.primary_assembly.genome.fa : chr # 11  "chr12" chrStart: 1944846336
reference/GRCh38.primary_assembly.genome.fa : chr # 12  "chr13" chrStart: 2078277632
reference/GRCh38.primary_assembly.genome.fa : chr # 13  "chr14" chrStart: 2192834560
reference/GRCh38.primary_assembly.genome.fa : chr # 14  "chr15" chrStart: 2300051456
reference/GRCh38.primary_assembly.genome.fa : chr # 15  "chr16" chrStart: 2402287616
reference/GRCh38.primary_assembly.genome.fa : chr # 16  "chr17" chrStart: 2492727296
reference/GRCh38.primary_assembly.genome.fa : chr # 17  "chr18" chrStart: 2576089088
reference/GRCh38.primary_assembly.genome.fa : chr # 18  "chr19" chrStart: 2656567296
reference/GRCh38.primary_assembly.genome.fa : chr # 19  "chr20" chrStart: 2715287552
reference/GRCh38.primary_assembly.genome.fa : chr # 20  "chr21" chrStart: 2779774976
reference/GRCh38.primary_assembly.genome.fa : chr # 21  "chr22" chrStart: 2826698752
reference/GRCh38.primary_assembly.genome.fa : chr # 22  "chrX" chrStart: 2877554688
reference/GRCh38.primary_assembly.genome.fa : chr # 23  "chrY" chrStart: 3033792512
reference/GRCh38.primary_assembly.genome.fa : chr # 24  "chrM" chrStart: 3091202048
reference/GRCh38.primary_assembly.genome.fa : chr # 25  "GL000008.2" chrStart: 3091464192
reference/GRCh38.primary_assembly.genome.fa : chr # 26  "GL000009.2" chrStart: 3091726336
reference/GRCh38.primary_assembly.genome.fa : chr # 27  "GL000194.1" chrStart: 3091988480
reference/GRCh38.primary_assembly.genome.fa : chr # 28  "GL000195.1" chrStart: 3092250624
reference/GRCh38.primary_assembly.genome.fa : chr # 29  "GL000205.2" chrStart: 3092512768
reference/GRCh38.primary_assembly.genome.fa : chr # 30  "GL000208.1" chrStart: 3092774912
reference/GRCh38.primary_assembly.genome.fa : chr # 31  "GL000213.1" chrStart: 3093037056
reference/GRCh38.primary_assembly.genome.fa : chr # 32  "GL000214.1" chrStart: 3093299200
reference/GRCh38.primary_assembly.genome.fa : chr # 33  "GL000216.2" chrStart: 3093561344
reference/GRCh38.primary_assembly.genome.fa : chr # 34  "GL000218.1" chrStart: 3093823488
reference/GRCh38.primary_assembly.genome.fa : chr # 35  "GL000219.1" chrStart: 3094085632
reference/GRCh38.primary_assembly.genome.fa : chr # 36  "GL000220.1" chrStart: 3094347776
reference/GRCh38.primary_assembly.genome.fa : chr # 37  "GL000221.1" chrStart: 3094609920
reference/GRCh38.primary_assembly.genome.fa : chr # 38  "GL000224.1" chrStart: 3094872064
reference/GRCh38.primary_assembly.genome.fa : chr # 39  "GL000225.1" chrStart: 3095134208
reference/GRCh38.primary_assembly.genome.fa : chr # 40  "GL000226.1" chrStart: 3095396352
reference/GRCh38.primary_assembly.genome.fa : chr # 41  "KI270302.1" chrStart: 3095658496
reference/GRCh38.primary_assembly.genome.fa : chr # 42  "KI270303.1" chrStart: 3095920640
reference/GRCh38.primary_assembly.genome.fa : chr # 43  "KI270304.1" chrStart: 3096182784
reference/GRCh38.primary_assembly.genome.fa : chr # 44  "KI270305.1" chrStart: 3096444928
reference/GRCh38.primary_assembly.genome.fa : chr # 45  "KI270310.1" chrStart: 3096707072
reference/GRCh38.primary_assembly.genome.fa : chr # 46  "KI270311.1" chrStart: 3096969216
reference/GRCh38.primary_assembly.genome.fa : chr # 47  "KI270312.1" chrStart: 3097231360
reference/GRCh38.primary_assembly.genome.fa : chr # 48  "KI270315.1" chrStart: 3097493504
reference/GRCh38.primary_assembly.genome.fa : chr # 49  "KI270316.1" chrStart: 3097755648
reference/GRCh38.primary_assembly.genome.fa : chr # 50  "KI270317.1" chrStart: 3098017792
reference/GRCh38.primary_assembly.genome.fa : chr # 51  "KI270320.1" chrStart: 3098279936
reference/GRCh38.primary_assembly.genome.fa : chr # 52  "KI270322.1" chrStart: 3098542080
reference/GRCh38.primary_assembly.genome.fa : chr # 53  "KI270329.1" chrStart: 3098804224
reference/GRCh38.primary_assembly.genome.fa : chr # 54  "KI270330.1" chrStart: 3099066368
reference/GRCh38.primary_assembly.genome.fa : chr # 55  "KI270333.1" chrStart: 3099328512
reference/GRCh38.primary_assembly.genome.fa : chr # 56  "KI270334.1" chrStart: 3099590656
reference/GRCh38.primary_assembly.genome.fa : chr # 57  "KI270335.1" chrStart: 3099852800
reference/GRCh38.primary_assembly.genome.fa : chr # 58  "KI270336.1" chrStart: 3100114944
reference/GRCh38.primary_assembly.genome.fa : chr # 59  "KI270337.1" chrStart: 3100377088
reference/GRCh38.primary_assembly.genome.fa : chr # 60  "KI270338.1" chrStart: 3100639232
reference/GRCh38.primary_assembly.genome.fa : chr # 61  "KI270340.1" chrStart: 3100901376
reference/GRCh38.primary_assembly.genome.fa : chr # 62  "KI270362.1" chrStart: 3101163520
reference/GRCh38.primary_assembly.genome.fa : chr # 63  "KI270363.1" chrStart: 3101425664
reference/GRCh38.primary_assembly.genome.fa : chr # 64  "KI270364.1" chrStart: 3101687808
reference/GRCh38.primary_assembly.genome.fa : chr # 65  "KI270366.1" chrStart: 3101949952
reference/GRCh38.primary_assembly.genome.fa : chr # 66  "KI270371.1" chrStart: 3102212096
reference/GRCh38.primary_assembly.genome.fa : chr # 67  "KI270372.1" chrStart: 3102474240
reference/GRCh38.primary_assembly.genome.fa : chr # 68  "KI270373.1" chrStart: 3102736384
reference/GRCh38.primary_assembly.genome.fa : chr # 69  "KI270374.1" chrStart: 3102998528
reference/GRCh38.primary_assembly.genome.fa : chr # 70  "KI270375.1" chrStart: 3103260672
reference/GRCh38.primary_assembly.genome.fa : chr # 71  "KI270376.1" chrStart: 3103522816
reference/GRCh38.primary_assembly.genome.fa : chr # 72  "KI270378.1" chrStart: 3103784960
reference/GRCh38.primary_assembly.genome.fa : chr # 73  "KI270379.1" chrStart: 3104047104
reference/GRCh38.primary_assembly.genome.fa : chr # 74  "KI270381.1" chrStart: 3104309248
reference/GRCh38.primary_assembly.genome.fa : chr # 75  "KI270382.1" chrStart: 3104571392
reference/GRCh38.primary_assembly.genome.fa : chr # 76  "KI270383.1" chrStart: 3104833536
