"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000169057.25",83637.1109691961,4.85407556656778,0.0856917752898435,56.6457580106069,0,0
"ENSG00000274317.2",1101.57055648404,2.73575257097289,0.119664117941364,22.8619290229794,1.11206403747278e-115,1.19797098436755e-111
"ENSG00000163735.7",934.485472073232,2.54690608375556,0.13141845960809,19.380124309407,1.13572274887386e-83,8.15638220816243e-80
"ENSG00000168918.14",772.510708690472,3.00604305698569,0.17292621105853,17.3833858880319,1.10247778043958e-67,5.93822094489267e-64
"ENSG00000132274.17",2966.95262449597,1.52693088904867,0.089119589390856,17.133504535708,8.34716626724825e-66,3.59679394455727e-62
"ENSG00000250337.10",25055.1783197235,1.32126729648101,0.0804819142047163,16.4169467083026,1.44665490358133e-60,5.19469664960995e-57
"ENSG00000139318.8",5534.66258077416,1.70331388389364,0.104877054830455,16.2410537428538,2.58446286931095e-59,7.95460750275778e-56
"ENSG00000104738.19",10595.0435678717,1.18857023876711,0.0739134208640081,16.0805740672447,3.49128688297603e-58,9.40247198671483e-55
"ENSG00000049130.16",3245.04161393277,1.57528366141666,0.10053557703946,15.6689174897595,2.46746111367938e-55,5.90682774380246e-52
"ENSG00000124491.16",350.796120578405,3.40723647323703,0.217965043263872,15.6320317341537,4.40529531607452e-55,9.49120875848255e-52
"ENSG00000124762.14",20464.0397336363,1.43351451460677,0.092221487910702,15.544257060728,1.74029030887417e-54,3.40859588224491e-51
"ENSG00000055163.21",6940.56603686809,1.32700593358972,0.0859536438148877,15.4386233636308,9.00007792897471e-54,1.615888991498e-50
"ENSG00000244405.8",1955.81948187085,1.6740523352605,0.108678431550903,15.403721891923,1.54513971472392e-53,2.56077193490207e-50
"ENSG00000169116.11",659.460979656937,2.10916379546752,0.138291778002364,15.251548761138,1.60773897369999e-52,2.30924907922442e-49
"ENSG00000131080.15",2890.07290551852,1.33416358275665,0.0884704006170438,15.0803384346789,2.18147889394366e-51,2.937497673126e-48
"ENSG00000065328.17",1947.48720505821,1.32205057270104,0.0896883932811782,14.7404867490081,3.54222468034127e-49,4.48924886693839e-46
"ENSG00000196562.16",5928.44894512177,1.51003054374458,0.10349987961808,14.589684058732,3.26707120494123e-48,3.91050272835882e-45
"ENSG00000104327.7",1234.62010321531,1.94014689012646,0.133982321118444,14.4806185915477,1.60644890798066e-47,1.82162851170755e-44
"ENSG00000159713.11",1050.81963024045,-2.00096824554173,0.139275190634481,-14.3670113566251,8.33512302529324e-47,8.97901127899715e-44
"ENSG00000170775.3",778.075142965747,2.20758685426714,0.154929207111133,14.2490037574619,4.54721898380836e-46,4.66523014315005e-43
"ENSG00000145147.20",13648.9918866564,1.16667164973755,0.0828005882404252,14.0901372143628,4.36712257119465e-45,4.27680253619949e-42
"ENSG00000136492.10",2020.19079744742,1.09726872021648,0.0789259825304859,13.9025031432792,6.1164290070112e-44,5.72949838939375e-41
"ENSG00000115884.11",3022.45601664351,1.41167384024089,0.104241429525445,13.5423492047977,8.79311920642601e-42,7.57791013209793e-39
"ENSG00000161513.12",2203.06924805626,1.67271795917975,0.123908422159303,13.4996308566436,1.57161622318709e-41,1.25409153809503e-38
"ENSG00000092853.14",2477.05392006,1.05615895105932,0.0788412522143265,13.3960194872121,6.37939903949733e-41,4.90871972521322e-38
"ENSG00000176890.16",2641.88025785578,1.11691876253265,0.0840033704428606,13.2961184372046,2.43800184006126e-40,1.750891654804e-37
"ENSG00000187323.13",1807.27390942609,1.29773658489868,0.099620126620554,13.0268513895959,8.60873676218054e-39,5.79610104816187e-36
"ENSG00000094804.12",2161.81527130474,1.23785078659525,0.0950553911335423,13.0224153710146,9.12384933056468e-39,5.95676769172776e-36
"ENSG00000169908.12",280.38520693691,-3.40302576928506,0.263350409510414,-12.9220447221309,3.38037242449622e-38,2.14206246722856e-35
"ENSG00000120738.8",1910.14190448292,1.27272635808115,0.0999250687723078,12.7368074269853,3.69195948894111e-37,2.14981803214152e-34
"ENSG00000185187.13",545.302172187615,-1.69539224908128,0.133092465400392,-12.7384540062498,3.61487075631181e-37,2.14981803214152e-34
"ENSG00000167670.16",2981.48578830275,1.09883315220137,0.0865432107982482,12.6969307247335,6.14944754567615e-37,3.39717557363058e-34
"ENSG00000157542.11",1110.46156576406,1.53016077873592,0.120875412835352,12.6589911284952,9.97732883342391e-37,5.37403874290296e-34
"ENSG00000108255.8",723.641871515049,-1.60042642813107,0.127013507643361,-12.6004427231856,2.09962652830462e-36,1.10332813542252e-33
"ENSG00000196576.16",8302.08280430767,1.09260890175817,0.087521844199181,12.4838423110878,9.14640233572781e-36,4.58277298426176e-33
